,Precision,Recall,F1-Score
ResNet101_noaug_bs16,0.17073446566867617,0.19544459235821837,0.10915995704501896
ResNet152_noaug_bs16,0.057727588416259495,0.1640597603740503,0.08158229587159362
ResNet50_noaug_bs16,0.11638298676340394,0.15115718418514948,0.057763541481217734
ResNet50_noaug_bs32,0.3273120836019773,0.3382325674352307,0.29262578817120366
