,Precision,Recall,F1-Score
ResNet101_aug_bs16,0.014103982300884955,0.125,0.025347912524850896
ResNet101_aug_bs32,0.30431623587691325,0.27722004865976324,0.25284088795733917
ResNet101_noaug_bs32,0.05185083109613298,0.13352529677784059,0.06085946573751452
ResNet152_aug_bs16,0.12259307587004176,0.19214647018995773,0.12307535407477359
ResNet152_aug_bs32,0.16868805425143452,0.22586226505146326,0.15475158650318813
ResNet152_noaug_bs32,0.3001285821234523,0.28800515756239287,0.2691067453330427
ResNet50_aug_bs16,0.3628212529274313,0.42242630079920684,0.3522741788552707
ResNet50_aug_bs32,0.29382843247725016,0.3693952570827963,0.286134732553493
